id;scientific_name;synonym;local_name;english_name;voucher_number;picture;picture_content_type;botanical_description;therapeutic_uses;used_parts;preparation;pharmacological_activities;major_phytochemicals;family_id
1;Chicken Inverse;Metal SQL;Concrete;Luxembourg Cambridgeshire;Keyboard Pants;../fake-data/blob/hipster.png;image/png;robust backing;relationships Wooden payment;deliver District;paradigms;deposit;open-source;1
2;interface Beauty;Shoes Cambridgeshire;Corner Bedfordshire Gorgeous;User Soft synthesizing;Mobility GB;../fake-data/blob/hipster.png;image/png;ivory challenge Chief;Gorgeous Gorgeous;Tuna Global;cross-platform;Innovative implement Frozen;Towels ROI Wooden;2
3;Pants Refined;Herzegovina;redundant;Health;invoice;../fake-data/blob/hipster.png;image/png;Centers;Factors Auto modular;index;Plastic;Shirt Investor;Kids Fort;3
4;internet;Granite;calculating Prairie;systems repurpose Refined;Peso connect;../fake-data/blob/hipster.png;image/png;Well Wooden;invoice Cheese;deposit;Handmade Investor application;Zambia;Beauty silver Franc;4
5;Licensed Incredible Soft;Practical Guatemala Soft;1080p;orchestration Auto global;Club paradigms Books;../fake-data/blob/hipster.png;image/png;Devolved Connecticut;SSL Money;Communications;Legacy enterprise;impactful;Landing;5
6;Agent SCSI;SMS Account;Awesome metrics utilize;invoice Camp Colorado;Chair;../fake-data/blob/hipster.png;image/png;Account;Islands;Liaison Tasty Checking;circuit Wooden deposit;South bottom-line Incredible;target Assurance orchid;6
7;moratorium;Kids Metal;Tugrik;white;alarm real-time;../fake-data/blob/hipster.png;image/png;Optimization client-server Tala;Global;Krone Practical synthesizing;Washington Bypass Assistant;Cloned Fresh ability;Consultant frictionless d'Ivoire;7
8;USB;Factors Specialist;Metal withdrawal;Markets;Division Croatia SMTP;../fake-data/blob/hipster.png;image/png;Ethiopia input;multi-byte;Grenada;hacking Shoes Steel;SMS;protocol Account;8
9;Bedfordshire;transmitting Orchestrator purple;scalable;Principal;Towels well-modulated;../fake-data/blob/hipster.png;image/png;Open-architected;discrete;Netherlands calculate;withdrawal XML budgetary;Outdoors real-time;Borders transmitting schemas;9
10;Florida;Mandatory;Belgium copying;auxiliary throughput Quality;El;../fake-data/blob/hipster.png;image/png;Boliviano;one-to-one ability;asynchronous Plastic PCI;hack;transparent;azure withdrawal Avon;10
